D1
h1 规则说明
h2 预约热度
# 活动期间，每当有玩家完成预创建角色时，热度会有所提升。
# 热度达到档位条件要求后，即可激活对应档位的奖励。
# 热度达到最高档位时，还将在开服后指定时间段开放新服盛典活动。
h2 预充值
# 活动期间进行预充值，可升级已激活的奖励。
h2 奖励发放
# 正式开服后，可在#Y活动大使#n处领取已激活的每一档预约奖励。
# 开服后可获得已达成热度要求的所有档位预约奖励，但将根据是否充值发放未充值奖励或充值后奖励。
h2 有效期提醒
# 【福缘】灵宠青睐任务（需拥有购买无极熊资格）：以开服时间为起始点进行有效期计算，开服7天内可进行任务，逾期视作放弃。
# 【福缘】锦衣华服任务（需拥有购买限时绝版时装礼盒资格）：以开服时间为起始点进行有效期计算，开服7天内可进行任务，逾期视作放弃。
# 【预售】好礼尾款任务（需有支付过定金的幸运好礼）：以开服时间为起始点进行有效期计算，开服30天内可支付尾款，逾期视作放弃。
# 位列仙班权益（开服前购买过位列仙班）：以开服时间为起始点进行有效期计算，开服30天内可领取权益，逾期视作放弃。
# 充值好礼次数（开服前进行过30元及以上预充值）：以开服时间为起始点进行有效期计算，开服30天内可领取权益，逾期视作放弃。
