D1 
h1 先行须知
h2 区组说明
# 本区组为删档测试区组，将于YYYY2年MM2月DD2日 HH2:MM2永久关闭。
# 本区组中发生的各种数据变化将不会影响道友原区组角色。
# 本区组中洛书系统主要资源产出速度将是正常区组的#R2.5倍#n（通关洛书系统第2章节后）。
h2 建议反馈
# 各位先行者在体验过程中发生的任何问题，皆可通过如下任意方式进行反馈：
## 前往雷霆游戏论坛天界内测版块反馈；
## 使用先行者界面中的“快速反馈”功能进行反馈；
## 加入先行者QQ群：1055836360中向管理员反馈。
# 道友的意见可以帮助我们更好的优化游戏体验，但由于区组的特殊性，道友提交的建议与问题可能不会得到任何反馈与奖励。
h2 体验积分
# 完成先行者系统中的各项任务可累积体验积分（长期任务为系列任务，完成上一任务后才会出现新的任务）。
# 体验积分累积到一定程度时，可在测试期结束后在#R角色原区组#n获得天界测试专属奖励。
# 奖励内容及对应积分要求可在先行奖励页签中查看。
h2 其他说明
# 本区组内角色将无条件拥有位列仙班·年卡资格、高级托管年卡时间。
# 若先行奖励发放前原区组角色通过聚宝斋出售，该角色将失去获得奖励的资格。
