D1
h1 秘境试炼
h2 基础规则
# 在秘境中，需移除尘封的碎石寻找前往下一层的通道。
# 移除碎石需要消耗一定的探险值，探险值每10分钟恢复1点，凌晨0~8点期间不恢复探险值。
# 探险过程中，可能寻找到失落的宝物、卷轴、食物，为秘境探险提供保障，但也有可能遭遇其他探险者阻拦。
# 只有击败其他探险者方可前往下一层秘境，若探险伤害或探险武学不如对方，则需付出一定探险值方可将其击退。
# 每30层将会出现BOSS，BOSS战斗力强悍，需要搭配不同的装备与灵石才能将其击败，详情请看下方BOSS战斗介绍。
# 若无法击败BOSS或其他探险者，还可通过时空密道返回层数较低的秘境重新探索，返回秘境时不会影响现有数值，已击败过的BOSS也不会再刷新，但秘境布局会发生改变。
# 移除碎石与击败探险者或BOSS后，均会获得探险经验。探险经验积累到一定值时可提升探险等级，探险等级越高，探险伤害、探险武学越高，探险值积累上限也越高。
# 参与活动还可获得道行武学奖励及活动积分，积分可兑换丰厚奖励，详情见奖励界面。
h2 BOSS战斗
# 每次攻击需要消耗1点探险值，对BOSS造成1点伤害。穿戴克制BOSS相性的套装可对BOSS造成更多伤害。
# 若探险伤害或探险武学不如BOSS，则每次攻击需付出额外的探险值。
# 高层数的BOSS将会拥有抗性，若相应相性攻击不如BOSS的抗性（比如BOSS有火抗性则需要足够的火攻）则每次攻击也需要付出额外的探险值，层数越高BOSS可能拥有的抗性类型越多。
