D1
h1 全民PK
h2 报名资格
# 需先缴纳一定的费用购买报名资格，自身道行越高，报名所需的费用越低。10级以下的道友没有报名资格，回归玩家尊享8折优惠。
# 积分赛的报名截止时间为DayScoreSUEnd+TimeSUEnd，同一账号同时只能在一个区组登录进入全民PK赛场，请勿在不同区组重复购买报名资格。
# 购买报名资格后，请务必在热身赛期间进入全民热身赛场、前往全民PK赛接引人处确认参赛队伍阵容。
h2 注意事项
# 如欲更换队伍成员，可以在报名结束前取消参赛队伍阵容，再与新成员重新组队确认参赛队伍阵容。
# 1个身份证号码仅限使用1个游戏账号报名1种类型的赛事，若发现1个身份证报名多个游戏账号或1个身份证报名两种类型的赛事等重复报名行为，则将被取消比赛资格并没收奖励。
h2 奖励内容
# 报名时可以指定同区组账号下任意角色，来获取本次全民PK赛事中的所有奖励，以方便大家使用不同门派的角色进行报名，在比赛期间还可随时前往跨服赛事接引人处更换获取奖励角色。
# 本次全民PK赛还将根据报名人数来提升赛事中的各项奖励，当报名人数达到TotalSignUp_2时，赛事奖励总体提升20%，当报名人数达到TotalSignUp_3时，赛事奖励总体提升40%。 
