D1
h1 洛书
h2 背景
# 地府异动，风云再起，中洲大陆出现了多起伤人事件，你奉命一路调查，无意中揭开了一个尘封的世界，万千生灵系你一身。
# 千钧之际，王母赐灵宝洛书，天帝授征讨先锋，满天神佛任凭差遣，随心所欲征战四方荡平妖魔，只在你一念之间。
h2 关卡
# 失落之地共有10章480关，道友需驾驭神将逐关斩妖除魔，还可挑战当前关卡的妖魔首领，胜利后方可进入下一关继续征战。
# 若挑战失败，可在当前关卡挂机，积攒经验来提升洛书等级提升实力，神将等级也会随洛书等级自动提升。
h2 神将
# 随着挑战关卡层数的提升，道友将受到更多实力强大的神将的关注，并解锁其招募任务。
# 完成招募任务后便可获得该神将，总计可招募15个神将。
# 招募神将后，还可获得使用九曲玲珑笔变身为该神将的资格。
h2 装备
# 通关花谷第4关后开启装备功能。
# 在挂机过程中会随机掉落装备，给神将穿戴后可提升其实力。
# 多余的装备可以在军备库中进行分解获得器魂，帮助神将淬魂。
h2 淬魂
# 通关伏龙穴第10关开启淬魂功能。
# 淬炼神将的"六神"来强化其神魂，可提高所有神将的属性能力。
h2 天工府
# 通关幽冥城第14关开启天工府系统。
# 此地专司炼造各色天材地宝，是由神将运作的神秘之所。
# 每日产出包括神将装备、妖魂、破境草，并会额外产出洛书经验。
h2 神格
# 通关北冥第14关后开启神格功能。
# 妖魔虽然陨落，但精气神仍凝于妖魂之中，耗费妖魂可在聚神楼中抽取神格。
# 神格中蕴含强大的能量，神将装备后可强身健体、助长修为。
h2 试炼场
# 通关北冥第14关开启试炼场功能。
# 神将每日可在此地演练阵型，还可获得妖魂、破境草以提升实力。
h2 破境
# 通关诛仙阵第9关后开启破境功能。
# 神将的神念在失落之地中受到了不同程度的压制，幸好失落之地中的破境草可助其突破境界，大幅度提升神将的各项属性。
h2 洛书品阶
# 培育洛书对道友的实力亦有帮助，随着洛书品阶的提升，可全面提升道友自身、宠物和娃娃的物伤、法伤、防御和速度。
# 无极·高阶洛书可增加物伤1330，法伤735，防御2660，速度210。




